DBN,Year,PreK,Kindergarten,Grade.1,Grade.2,Grade.3,Grade.4,Grade.5,Grade.6,Grade.7,Grade.8,Grade.9,Grade.10,Grade.11,Grade.12,Ungraded,Total,SCC,CTT,other,bilingual,dualLang,esl,ELLwithIEP,overage,nativeAmerican,black,latino,asian,white,male,female,attendance,stability,povertyRate,temporaryHousing,immigrants,principalSuspensions,superintendentSuspensions,cte,earlyCollege,teachers,admin,paraprofessionals,fullyLicensed,moreThanTwoTeaching,moreThanFiveTeaching,mastersDegreeOrHigher,coreClassHighlyQualifiedTeacher
23K298,2008,34,40,65,66,69,69,75,66,67,60,0,0,0,0,7,618,42,30,40,0,0,15,0,2,0.3,86.6,12.5,0.3,0.3,47.6,52.4,88.4,92.1,99.2,2,1,60,45,0,0,62,13,4,100,72.6,64.5,82,92.4
23K323,2008,33,60,40,35,29,28,25,108,102,74,0,0,0,0,4,538,56,9,26,0,0,14,2,3,0.2,86.1,13.8,0,0,49.6,50.4,91.2,92.5,89.8,4,3,0,4,0,0,41,12,1,100,73.2,73.2,83,80.4
23K327,2008,36,61,78,80,85,85,82,86,97,84,0,0,0,0,3,777,44,15,41,0,0,25,1,2,0.1,83.5,14.9,0.6,0.8,48,52,89.3,94.5,87.4,7,0,12,31,0,0,53,19,6,100,73.6,67.9,79,98.8
23K332,2008,34,59,80,54,50,37,52,58,59,56,0,0,0,0,31,570,57,8,33,0,0,37,1,4,0.7,64,34.2,0.4,0.7,51,49,86.4,88.6,77.6,23,6,63,36,0,0,43,14,12,100,74.4,55.8,79,91
23K392,2008,0,0,0,0,0,0,26,94,88,81,0,0,0,0,7,296,8,0,2,0,0,0,0,0,1.7,79.4,15.2,3.4,0.3,40.2,59.8,95.8,98.3,86,2,0,0,0,0,0,17,7,0,100,58.8,29.4,71,100
23K493,2008,0,0,0,0,0,0,0,53,73,77,103,91,66,55,3,521,0,22,31,0,0,8,0,2,0.4,84.6,11.3,3.1,0.6,46.6,53.4,93.6/86.5,94.8,64.1,1,1,21,18, TBD ,0,34,10,2,100,17.6,26.5,68,83
23K514,2008,0,0,0,0,0,0,0,0,0,0,132,120,80,77,0,409,0,17,15,0,0,2,1,12,0.2,87.3,10.8,0.5,1.2,42.8,57.2,89.5,94.9,67,6,0,76,5, TBD ,0,25,6,0,100,19.2,19.2,58,83.7
23K518,2008,0,0,0,0,0,0,0,71,101,86,0,0,0,0,0,258,31,10,9,0,0,1,1,1,0.4,87.6,9.7,1.6,0.8,48.4,51.6,93.2,97.5,94.6,2,2,5,13,0,0,21,5,0,100,42.9,38.1,67,84.2
23K522,2008,0,0,0,0,0,0,0,64,36,58,0,0,0,0,1,159,11,6,4,0,0,4,0,2,0.6,85.5,10.7,2.5,0.6,54.1,45.9,94.1,94.9,69.1,4,0,24,5,0,0,14,3,0,100,42.9,21.4,71,80
23K645,2008,0,0,0,0,0,0,0,0,0,0,207,147,73,87,1,515,37,0,40,0,0,28,3,40,0.6,56.9,41.6,0.8,0.2,46,54,71.1,96.3,66.3,5,6,18,73, TBD ,0,32,12,1,100,47.1,55.9,76,98.3
23K697,2008,0,0,0,0,0,0,0,49,42,60,145,147,89,80,2,614,31,16,23,0,0,5,3,15,0.3,86.5,12,0.2,1,35.7,64.3,94.0/84.4,96.5,73.5,2,1,44,11, TBD ,0,44,12,2,100,55.6,26.7,76,97.9
24Q005,2008,0,0,0,0,0,0,0,425,524,533,0,0,0,0,23,1505,79,65,62,15,0,253,33,5,0,2.6,53.8,39.9,3.8,51.9,48.1,94.9,95.8,73.7,3,77,169,15,0,0,112,26,11,100,69.6,42.9,80,99.3
24Q007,2008,0,317,272,286,252,0,0,0,0,0,0,0,0,0,17,1144,44,34,35,83,0,529,5,0,0.4,0.7,46.5,44.4,8,52.6,47.4,,92.4,72.3,4,21,0,0,0,0,93,21,8,95.7,76.3,74.2,92,100
24Q012,2008,0,226,203,234,174,160,204,0,0,0,0,0,0,0,3,1204,20,20,39,66,0,398,8,0,0.5,0.4,42.6,48.1,8.4,54.2,45.8,96,94.4,71.5,4,46,0,1,0,0,75,12,7,98.7,72,45.3,97,100
